"ID" "Mark level" "Age class" "Gender" "TOT" "Data" "Observed"
"UNIRM_273" "LM" "A" "U" 5 2017-08-20 0
"UNIRM_274" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_275" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_276" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_277" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_278" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_279" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_280" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_281" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_282" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_283" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_284" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_285" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_286" "WM" "A" "U" 7 2017-08-20 0
"UNIRM_287" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_288" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_289" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_290" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_291" "PM" "A" "U" 3 2017-08-20 0
"UNIRM_292" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_293" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_294" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_295" "LM" "A" "U" 4 2017-08-20 0
"UNIRM_296" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_297" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_298" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_299" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_300" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_301" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_302" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_303" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_304" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_305" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_306" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_307" "WM" "A" "U" 9 2017-08-20 0
"UNIRM_308" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_309" "WM" "A" "U" 7 2017-08-20 0
"UNIRM_310" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_311" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_312" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_313" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_314" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_315" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_316" "PM" "A" "U" 2 2017-08-20 0
"UNIRM_317" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_318" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_319" "PM" "A" "U" 3 2017-08-20 0
"UNIRM_320" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_321" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_322" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_323" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_324" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_325" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_326" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_327" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_328" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_329" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_330" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_331" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_332" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_333" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_334" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_335" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_336" "PM" "A" "U" 5 2017-08-20 0
"UNIRM_337" "WM" "A" "U" 7 2017-08-20 0
"UNIRM_338" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_339" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_340" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_341" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_342" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_343" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_344" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_345" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_346" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_347" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_348" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_349" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_350" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_351" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_352" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_353" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_354" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_355" "PM" "A" "U" 2 2017-08-20 0
"UNIRM_356" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_357" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_358" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_359" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_360" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_001" "WM" "A+I" "F" 10 2017-10-12 0
"UNIRM_002" "WM" "A" "U" 1 2017-10-12 1
"UNIRM_003" "WM" "A" "M" 11 2017-10-12 1
"UNIRM_004" "WM" "A+I" "F" 1 2017-10-12 0
"UNIRM_005" "LM" "I" "U" 1 2017-10-12 0
"UNIRM_006" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_007" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_008" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_009" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_010" "LM" "A" "U" 2 2017-10-12 0
"UNIRM_011=067" "WM" "A" "F" 8 2017-10-12 0
"UNIRM_012" "LM" "A" "U" 1 2017-10-12 0
"UNIRM_013" "LM" "A" "U" 1 2017-10-12 0
"UNIRM_014" "WM" "A" "U" 6 2017-10-12 0
"UNIRM_015" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_016" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_017" "LM" "A" "U" 1 2017-10-12 0
"UNIRM_018" "WM" "A" "U" 2 2017-10-12 0
"UNIRM_019" "WM" "A" "U" 5 2017-10-12 0
"UNIRM_020" "WM" "A" "U" 20 2017-10-12 0
"UNIRM_021" "WM" "A" "U" 12 2017-10-12 0
"UNIRM_022" "WM" "A" "F" 17 2017-10-12 0
